text,option1,option2,option3,option4,correctAnswer
"Яке з чисел є парним?","17","21","42","55",3
"Який кут має прямий кут?","45°","60°","90°","180°",3
"Яке число є простим?","21","29","39","49",2
"Чому дорівнює корінь з 144?","10","11","12","14",3
"Яка ймовірність випадіння парного числа при киданні кубика?","1/6","1/3","1/2","2/3",3
"Яка формула площі кола?","2πr","πr²","πd","r²",2
"Який визначник матриці [[1,2],[3,4]]?","-2","2","-5","5",1
"Який ряд називають гармонічним?","Σ 1/n²","Σ 1/n","Σ n!","Σ n^2",2
"Яка кількість підмножин має множина з n елементів?","n!","2^n","n^2","C(2n,n)",2
"Яка похідна функції sin(x)?","cos(x)","-cos(x)","sin(x)","-sin(x)",1
"Яка асимптотична складність алгоритму сортування злиттям?","O(n)","O(n log n)","O(n^2)","O(log n)",2
"Який метод у Python використовується для додавання елемента в кінець списку?","add()","append()","insert()","push()",2
"Що таке рекурсія?","Циклічне виконання інструкцій","Виклик функції всередині самої себе","Виконання кількох потоків","Ітерація по масиву",2
"Який результат виконання рекурсивної формули Фібоначчі F(0)=0,F(1)=1,F(5)=?","3","5","8","13",2
"Який час виконання алгоритму бінарного пошуку?","O(1)","O(log n)","O(n)","O(n log n)",2
"Що таке HTML?","Мова програмування","Мова розмітки","База даних","Операційна система",2
"Яка складність пошуку елемента у збалансованому бінарному дереві?","O(1)","O(log n)","O(n)","O(n log n)",2
"Яке ключове слово використовується в Java для наслідування класу?","super","this","extends","implements",3
"Яка структура даних зберігає ключ-значення у Python?","list","tuple","dict","set",3
"Який тип даних у Python для значення 'Hello'?","int","str","list","bool",2
"Яка столиця Німеччини?","Дрезден","Кельн","Берлін","Франкфурт",3
